manual_reduction_time_tolerance,closed_loop_time_s,uav_phase_time_s,ground_review_time_s,manual_count,weighted_manual_cost,direct_confirm_count,total_energy_j,load_std_s,direct_confirmed_nodes,manual_target_nodes
1.0,3512.836363636364,633.8363636363637,2879.0,9,21,7,531202.0,18.2602966820738,1 4 6 7 10 12 16,2 3 5 8 9 11 13 14 15
1.03,3567.7772727272727,1087.7772727272727,2480.0,7,19,9,572104.0,197.61798037464953,1 3 4 6 7 10 11 12 16,2 5 8 9 13 14 15
1.05,3567.7772727272727,1087.7772727272727,2480.0,7,19,9,572104.0,197.61798037464953,1 3 4 6 7 10 11 12 16,2 5 8 9 13 14 15
1.1,3164.209090909091,1555.209090909091,1609.0,4,12,12,819900.0,392.69328352102065,1 3 4 6 7 9 10 11 12 14 15 16,2 5 8 13
