scheme,k,direct_threshold_multiplier,uav_phase_time_s,ground_review_time_s,closed_loop_time_s,manual_count,weighted_manual_cost,direct_confirm_count,total_energy_j,load_std_s
仅基础巡检(alpha->inf),4,inf,639.3318181818182,3894.0,4533.331818181819,16,36,0,206894.0,145.1818181818182
"推荐方案(K=4, alpha=1.0)",4,1.0,633.8363636363637,2669.0,3302.836363636364,9,21,7,531202.0,18.2602966820738
