direct_threshold_multiplier,closed_loop_time_s,uav_phase_time_s,ground_review_time_s,manual_count,weighted_manual_cost,direct_confirm_count,total_energy_j,load_std_s,normalized_objective
0.7,2080.918181818182,1552.918181818182,528.0,1,3,15,795119.0,447.60872923641284,0.1
0.85,3159.9863636363634,632.9863636363636,2527.0,8,19,8,534005.0,11.337460989754936,0.561054
1.0,3567.7772727272727,1087.7772727272727,2480.0,7,19,9,572104.0,197.61798037464953,0.672394
1.15,3699.8727272727274,636.8727272727272,3063.0,10,24,6,535977.0,7.806044026721123,0.774938
1.3,3998.8727272727274,636.8727272727272,3362.0,12,27,4,518707.0,41.19995524249349,0.903796
