battery_swap_time_s,uav_phase_time_s,total_energy_j,load_std_s,route_count,normalized_objective
0,639.3318181818182,206894.0,145.1818181818182,2,0.0
150,639.3318181818182,206894.0,145.1818181818182,2,0.0
300,639.3318181818182,206894.0,145.1818181818182,2,0.0
450,639.3318181818182,206894.0,145.1818181818182,2,0.0
600,639.3318181818182,206894.0,145.1818181818182,2,0.0
