effective_energy_limit_j,feasible,route_count,closed_loop_time_s,uav_phase_time_s,ground_review_time_s,manual_count,weighted_manual_cost,direct_confirm_count,total_energy_j,load_std_s
121500.0,True,4,3244.427272727273,570.4272727272727,2674.0,9,22,7,480615.0,9.431498625473797
135000.0,True,4,3302.836363636364,633.8363636363637,2669.0,9,21,7,531202.0,18.2602966820738
148500.0,True,6,3139.4727272727273,1680.4727272727273,1459.0,4,12,12,809423.0,422.7266897967633
