scheme,allow_split_hover,k,direct_threshold_multiplier,closed_loop_time_s,uav_phase_time_s,ground_review_time_s,manual_count,weighted_manual_cost,direct_confirm_count,total_energy_j,load_std_s,route_count,feasible,normalized_objective
可拆分悬停,True,4,1.0,3567.7772727272727,1087.7772727272727,2480.0,7,19,9,572104.0,197.61798037464953,5,True,0.55
不可拆分悬停,False,4,1.0,3411.6,631.6,2780.0,9,22,7,511795.0,29.91834721370817,4,True,0.45
