hover_power_j_per_s,feasible,route_count,closed_loop_time_s,uav_phase_time_s,ground_review_time_s,manual_count,weighted_manual_cost,direct_confirm_count,direct_confirmed_nodes,manual_target_nodes,manual_nodes,total_energy_j,load_std_s
198.0,True,5,3454.1232323232325,1491.1232323232325,1963.0,5,15,11,1 3 4 6 7 10 11 12 14 15 16,2 5 8 9 13,MP02 MP05 MP08 MP09 MP13,636833.0,345.803823100171
220.0,True,5,3567.7772727272727,1087.7772727272727,2480.0,7,19,9,1 3 4 6 7 10 11 12 16,2 5 8 9 13 14 15,MP02 MP05 MP08 MP09 MP13 MP14 MP15,572104.0,197.61798037464953
242.00000000000003,True,4,3651.411570247934,588.4115702479338,3063.0,10,24,6,1 4 6 7 11 16,2 3 5 8 9 10 12 13 14 15,MP02 MP03 MP05 MP08 MP09 MP10 MP12 MP13 MP14 MP15,531050.0,16.397629043099165
